iter	Passed	Remaining
910	5262	52503
911	5268	52496
912	5273	52488
913	5279	52478
914	5284	52472
915	5290	52465
916	5296	52459
917	5301	52451
918	5307	52444
919	5313	52438
920	5319	52433
921	5324	52423
922	5329	52410
923	5335	52405
924	5340	52395
925	5345	52385
926	5351	52377
927	5356	52367
928	5362	52359
929	5368	52355
930	5373	52348
931	5379	52338
932	5385	52333
933	5390	52325
934	5396	52318
935	5401	52310
936	5407	52303
937	5413	52295
938	5419	52294
939	5424	52285
940	5430	52279
941	5436	52274
942	5441	52264
943	5447	52259
944	5453	52251
945	5458	52241
946	5464	52236
947	5469	52227
948	5475	52218
949	5481	52218
950	5487	52217
951	5493	52211
952	5499	52208
953	5504	52197
954	5510	52186
955	5516	52182
956	5521	52172
957	5527	52166
958	5532	52161
959	5538	52151
960	5543	52142
961	5549	52137
962	5554	52126
963	5560	52119
964	5566	52116
965	5571	52106
966	5577	52098
967	5583	52094
968	5588	52085
969	5593	52074
970	5599	52066
971	5604	52056
972	5610	52050
973	5616	52045
974	5621	52036
975	5627	52029
976	5632	52022
977	5638	52012
978	5644	52007
979	5649	52002
980	5655	51993
981	5660	51986
982	5666	51978
983	5671	51969
984	5677	51961
985	5683	51954
986	5688	51945
987	5694	51941
988	5700	51934
989	5705	51924
990	5711	51921
991	5717	51914
992	5722	51906
993	5727	51897
994	5733	51889
995	5738	51879
996	5744	51871
997	5749	51862
998	5755	51856
999	5761	51852
1000	5766	51845
1001	5772	51839
1002	5778	51832
1003	5783	51824
1004	5789	51815
1005	5794	51808
1006	5800	51800
1007	5805	51792
1008	5811	51785
1009	5816	51775
1010	5822	51766
1011	5828	51763
1012	5833	51755
1013	5839	51749
1014	5845	51744
1015	5850	51735
1016	5855	51724
1017	5861	51720
1018	5867	51712
1019	5872	51702
1020	5878	51700
1021	5884	51690
1022	5889	51685
1023	5895	51681
1024	5901	51674
1025	5907	51667
1026	5912	51659
1027	5918	51650
1028	5923	51644
1029	5929	51635
1030	5934	51626
1031	5940	51618
1032	5945	51610
1033	5950	51601
1034	5956	51592
1035	5961	51584
1036	5967	51578
1037	5972	51568
1038	5978	51563
1039	5984	51555
1040	5989	51550
1041	5995	51543
1042	6001	51534
1043	6006	51529
1044	6012	51519
1045	6017	51510
1046	6022	51502
1047	6028	51495
1048	6033	51487
1049	6039	51479
1050	6044	51471
1051	6050	51464
1052	6056	51458
1053	6061	51449
1054	6067	51443
1055	6072	51435
1056	6078	51427
1057	6083	51419
1058	6089	51413
1059	6095	51406
1060	6101	51401
1061	6107	51402
1062	6113	51399
1063	6119	51397
1064	6126	51400
1065	6133	51400
1066	6139	51397
1067	6145	51399
1068	6151	51392
1069	6157	51393
1070	6163	51388
1071	6169	51380
1072	6175	51376
1073	6180	51369
1074	6186	51363
1075	6192	51358
1076	6197	51345
1077	6202	51336
1078	6208	51331
1079	6213	51322
1080	6219	51312
1081	6224	51306
1082	6230	51296
1083	6235	51289
1084	6241	51284
1085	6247	51279
1086	6253	51274
1087	6258	51265
1088	6263	51255
1089	6269	51252
1090	6275	51244
1091	6281	51238
1092	6287	51233
1093	6292	51225
1094	6297	51216
1095	6303	51210
1096	6309	51204
1097	6315	51201
1098	6321	51197
1099	6327	51192
1100	6332	51185
1101	6338	51181
1102	6344	51174
1103	6349	51165
1104	6355	51161
1105	6361	51153
1106	6366	51143
1107	6372	51138
1108	6377	51130
1109	6383	51125
1110	6389	51118
1111	6394	51110
